frame,time_sec,model_tag,class_id,class_name,confidence,x1,y1,x2,y2
135,4.500,coco_yolov8s,0,person,0.2787,1242.7,553.1,1528.9,779.7
136,4.533,coco_yolov8s,0,person,0.7943,1207.1,3.2,1529.6,689.3
136,4.533,coco_yolov8s,0,person,0.5469,812.3,285.8,1078.3,835.5
136,4.533,coco_yolov8s,0,person,0.5110,1756.2,284.4,1919.1,578.4
136,4.533,coco_yolov8s,0,person,0.3252,812.8,307.6,1000.6,819.3
137,4.567,coco_yolov8s,0,person,0.5315,810.0,283.9,1029.7,868.3
137,4.567,coco_yolov8s,0,person,0.5155,1773.5,282.9,1919.0,571.7
137,4.567,coco_yolov8s,0,person,0.3345,1188.6,4.8,1536.5,757.9
138,4.600,coco_yolov8s,0,person,0.5891,1194.9,23.2,1540.8,741.5
138,4.600,coco_yolov8s,0,person,0.5696,808.6,290.5,1082.8,875.5
139,4.633,coco_yolov8s,0,person,0.7829,1188.1,2.4,1468.4,683.4
139,4.633,coco_yolov8s,0,person,0.4826,806.4,302.0,1093.0,860.3
140,4.667,coco_yolov8s,0,person,0.6852,1182.2,101.3,1452.9,661.0
140,4.667,coco_yolov8s,0,person,0.3038,1180.4,104.2,1531.1,776.3
141,4.700,coco_yolov8s,0,person,0.6119,1172.5,92.0,1444.1,682.2
141,4.700,coco_yolov8s,0,person,0.5256,802.1,349.9,1084.8,884.6
141,4.700,coco_yolov8s,0,person,0.4661,1171.2,94.1,1536.2,762.1
141,4.700,coco_yolov8s,0,person,0.2912,800.7,363.6,981.8,866.7
142,4.733,coco_yolov8s,0,person,0.8261,1158.9,103.9,1421.9,656.6
142,4.733,coco_yolov8s,0,person,0.3942,798.1,361.1,965.1,856.0
142,4.733,coco_yolov8s,0,person,0.3180,798.8,359.8,1081.5,874.7
142,4.733,coco_yolov8s,0,person,0.2996,943.4,523.6,1084.9,846.6
143,4.767,coco_yolov8s,0,person,0.8892,1133.1,112.6,1407.8,683.3
144,4.800,coco_yolov8s,0,person,0.8036,1092.5,110.0,1391.1,692.3
145,4.833,coco_yolov8s,0,person,0.8913,1066.5,110.1,1375.6,691.2
145,4.833,coco_yolov8s,0,person,0.2615,792.7,395.0,954.0,872.1
146,4.867,coco_yolov8s,0,person,0.8997,1044.7,88.2,1362.0,693.5
147,4.900,coco_yolov8s,0,person,0.8970,1039.8,110.1,1361.0,695.4
148,4.933,coco_yolov8s,0,person,0.8091,1038.4,127.8,1328.5,696.9
149,4.967,coco_yolov8s,0,person,0.6186,1038.5,133.8,1313.7,697.6
150,5.000,coco_yolov8s,0,person,0.8835,1040.4,141.1,1301.3,696.9
151,5.033,coco_yolov8s,0,person,0.9054,1038.1,153.0,1287.0,712.1
152,5.067,coco_yolov8s,0,person,0.8922,1030.9,160.2,1269.8,709.0
153,5.100,coco_yolov8s,0,person,0.8867,1021.8,178.9,1252.7,717.8
154,5.133,coco_yolov8s,0,person,0.9223,1007.8,207.4,1238.5,721.2
155,5.167,coco_yolov8s,0,person,0.6496,998.6,212.3,1225.1,727.2
156,5.200,coco_yolov8s,0,person,0.7865,988.1,221.6,1212.4,730.2
157,5.233,coco_yolov8s,0,person,0.8243,975.7,212.3,1199.5,738.6
158,5.267,coco_yolov8s,0,person,0.7487,962.4,211.2,1186.7,739.0
158,5.267,coco_yolov8s,0,person,0.3890,742.6,450.2,885.0,916.6
159,5.300,coco_yolov8s,0,person,0.8153,952.9,211.2,1175.3,737.5
159,5.300,coco_yolov8s,0,person,0.2859,740.3,448.5,905.7,915.4
160,5.333,coco_yolov8s,0,person,0.7491,945.3,214.8,1165.3,739.5
160,5.333,coco_yolov8s,0,person,0.2504,736.0,446.9,890.2,917.9
161,5.367,coco_yolov8s,0,person,0.5643,934.7,219.7,1156.4,760.9
162,5.400,coco_yolov8s,0,person,0.4665,926.4,216.3,1149.0,798.4
163,5.433,coco_yolov8s,0,person,0.5311,916.8,220.1,1137.0,735.7
164,5.467,coco_yolov8s,0,person,0.7696,907.9,221.1,1129.0,818.5
165,5.500,coco_yolov8s,0,person,0.7931,902.1,225.8,1117.2,822.8
165,5.500,coco_yolov8s,0,person,0.2579,723.5,462.3,877.4,917.2
166,5.533,coco_yolov8s,0,person,0.3892,895.5,227.5,1112.0,830.7
166,5.533,coco_yolov8s,0,person,0.2500,1638.7,0.0,1918.9,258.4
167,5.567,coco_yolov8s,0,person,0.7875,889.7,230.5,1094.9,823.7
